SR_PCODE,SR_NAME,SR_MM_NAME,TS_PCODE,TS_NAME,TS_MM_NAME,LUMEANTS92,LUMEDTS92,LUMEANTS93,LUMEDTS93,LUMEANTS94,LUMEDTS94,LUMEANTS95,LUMEDTS95,LUMEANTS96,LUMEDTS96,LUMEANTS97,LUMEDTS97,LUMEANTS98,LUMEDTS98,LUMEANTS99,LUMEDTS99,LUMEANTS00,LUMEDTS00,LUMEANTS01,LUMEDTS01,LUMEANTS02,LUMEDTS02,LUMEANTS03,LUMEDTS03,LUMEANTS04,LUMEDTS04,LUMEANTS05,LUMEDTS05,LUMEANTS06,LUMEDTS06,LUMEANTS07,LUMEDTS07,LUMEANTS08,LUMEDTS08,LUMEANTS09,LUMEDTS09,LUMEANTS10,LUMEDTS10,LUMEANTS11,LUMEDTS11,LUMEANTS12,LUMEDTS12,LUMEANTS13,LUMEDTS13,LUMEANTS14,LUMEDTS14,LUMEANTS15,LUMEDTS15,LUMEANTS16,LUMEDTS16,LUMEANTS17,LUMEDTS17,LUMEANTS18,LUMEDTS18
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017023,Pyapon,ဖျာပုံ,0.074956421,0,0.076699593,0,0.093550261,0,0.175479372,0,0.118535735,0,0.138291691,0,0.060429983,0,0.06333527,0,0.131319001,0,0.064497385,0,0.042417199,0,0.085415456,0,0.044160372,0,0.04706566,0,0.072632191,0,0.074375363,0,0.065078443,0,0.030214991,0,0.52818129,0,1.497385241,0,0.316095293,0,0.814061592,0,0.012297927204205097,0,0.0022810671427154617,0,0.014975701676088466,0,0.017653476147971834,0,0.01834771397401567,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017024,Bogale,ဘိုကလေး,0.05252443,0,0.063925081,0,0.008143322,0,0.029315961,0,0.073697068,0,0.008550489,0,0,0,0.070032573,0,0.107899023,0,0.062296417,0,0.008143322,0,0.028094463,0,0.009771987,0,0.024429967,0,0.048045603,0,0.095684039,0,0.034609121,0,0,0,0.190960912,0,0.744299674,0,0.140472313,0,0.225570033,0,0.013495652173913044,0,0.0006260869565217392,0,0.01071304347826087,0,0.005495652173913044,0,0.010434782608695653,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017025,Kyaiklat,ကျိုက်လတ်,0.231283422,0,0.193850267,0,0.127005348,0,0.219251337,0,0.243315508,0,0.157754011,0,0.113636364,0,0.060160428,0,0.200534759,0,0.093582888,0,0.044117647,0,0.036096257,0,0,0,0.026737968,0,0,0,0,0,0,0,0,0,0.20855615,0,0.195187166,0,0.185828877,0,0.298128342,0,0.010739856801909307,0,0.0005966587112171838,0,0.0073587907716786,0,0.008552108194112968,0,0.012529832935560859,0
MMR017,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,MMR017026,Dedaye,ဒေးဒရဲ,0.049815498,0,0.087638376,0,0.032287823,0,0.070110701,0,0.125461255,0,0.041512915,0,0.067343173,0,0.023062731,0,0.098708487,0,0.088560886,0,0.070110701,0,0.046125461,0,0.021217712,0,0.023062731,0,0.011070111,0,0.025830258,0,0.022140221,0,0,0,0.109778598,0,0.367158672,0,0.102398524,0,0.283210332,0,0.005630278385986863,0,0,0,0.005786675007819831,0,0.011104160150140758,0,0.014075695964967157,0
MMR018,Naypyitaw  Council,နေပြည်တော်,MMR018001,Zay Yar Thi Ri,ဇေယျာသီရိ,0.32248062,0,0.342635659,0,0.578294574,0,0.596899225,0,0.857364341,0,0.570542636,0,0.320930233,0,0.63875969,0,1.19379845,0,1.00620155,0,0.731782946,0,0.779844961,0,1.443410853,0,1.959689922,0,6.493023256,0,9.124031008,0,10.62635659,6,8.479069767,0,19.18294574,11,17.35968992,9,16.39379845,10,15.32248062,10,2.2287104622871046,0,0.4520140578534739,0,1.6204379562043796,0,1.4079480940794808,0,1.209516085428494,0
MMR018,Naypyitaw  Council,နေပြည်တော်,MMR018002,Za Bu Thi Ri,ဇမ္ဗူသီရိ,0.657894737,0,0.407894737,0,0.592105263,0,0.815789474,0,0.907894737,0,0.947368421,0,0.25,0,0.684210526,0,0.855263158,0,0.631578947,0,0.592105263,0,0.605263158,0,4.263157895,3,6.394736842,6.5,19.52631579,20,37.80263158,41,47.09210526,53,50.38157895,59,57.23684211,62,60.72368421,62,59.85526316,62,60.97368421,62,26.57244655581948,21,10.144893111638956,10,21.068883610451305,18,18.684085510688835,16,16.15439429928741,14
MMR018,Naypyitaw  Council,နေပြည်တော်,MMR018003,Tatkon,တပ်ကုန်း,0.048729696,0,0.048313203,0,0.053727613,0,0.0666389,0,0.087463557,0,0.092461474,0,0.020408163,0,0.047063723,0,0.086214077,0,0.032486464,0,0.015826739,0,0,0,0,0,0.011661808,0,0.02790504,0,0.089962516,0,0.233652645,0,0,0,2.846730529,0,1.744689713,0,1.472303207,0,2.289046231,0,0.053667784745515534,0,0.008896018667055564,0,0.04550094793641534,0,0.03594866559719994,0,0.03959457488697681,0
MMR018,Naypyitaw  Council,နေပြည်တော်,MMR018004,Det Khi Na Thi Ri,ဒက္ခိဏသီရိ,0.120879121,0,0.159340659,0,0,0,0.10989011,0,0.093406593,0,0.065934066,0,0,0,0.06043956,0,0.082417582,0,0,0,0,0,0,0,0,0,0.269230769,0,2.961538462,0,7.06043956,6,12.26923077,8,12.51648352,0,29.91758242,26,31.5989011,32,31.67582418,31,34.74175824,36.5,6.725897920604915,1,2.5349716446124764,2,5.3724007561436675,1,4.978260869565218,1,4.3156899810964084,1
MMR018,Naypyitaw  Council,နေပြည်တော်,MMR018005,Poke Ba Thi Ri,ပုဗ္ဗသီရိ,0.193333333,0,0.103333333,0,0.4,0,0.4,0,0.41,0,0.35,0,0.173333333,0,0.49,0,0.676666667,0,0.513333333,0,0.39,0,0.256666667,0,0.24,0,0.58,0,2.54,0,6.503333333,0,10.15666667,0,8.82,0,24.31,17,30.65333333,27,32.08666667,32.5,31.43666667,29,5.438364055299539,0,1.955069124423963,1,4.71889400921659,0,4.461405529953917,0,3.681451612903226,0
MMR018,Naypyitaw  Council,နေပြည်တော်,MMR018006,Pyinmana,ပျဉ်းမနား,0.298947368,0,0.353684211,0,0.362807018,0,0.312280702,0,0.430175439,0,0.421754386,0,0.270877193,0,0.341754386,0,0.712280702,0,0.65754386,0,0.517192982,0,0.369122807,0,0.510877193,0,0.391578947,0,0.53122807,0,0.788070175,0,1.325614035,0,0.931929825,0,3.632982456,0,3.475789474,0,3.191578947,0,3.647719298,0,0.3249632533072023,0,0.18312101910828024,0,0.41438020578147966,0,0.4337334639882411,0,0.41842234198922096,0
MMR018,Naypyitaw  Council,နေပြည်တော်,MMR018007,Lewe,လယ်ဝေး,0.067411546,0,0.108752328,0,0.145996276,0,0.116573557,0,0.152327747,0,0.10018622,0,0.035009311,0,0.096834264,0,0.183612663,0,0.176536313,0,0.066666667,0,0.051396648,0,0.043947858,0,0.12141527,0,0.082681564,0,0.124394786,0,0.256610801,0,0,0,5.347858473,6,2.670018622,0,2.574674115,0,3.218994413,0,0.09101554876065318,0,0.04397892134539067,0,0.10845097911651812,0,0.10428729425541604,0,0.09836705484353653,0
MMR018,Naypyitaw  Council,နေပြည်တော်,MMR018008,Oke Ta Ra Thi Ri,ဥတ္တရသီရိ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019736842,0,0,0,0,0,0,0,0,0,0,0,0.179511278,0,0.915413534,0,2.387218045,0,3.245300752,0,2.630639098,0,11.19266917,8,7.578007519,4,9.328007519,6,9.288533835,7,0.8027098479841375,0,0.31179775280898875,0,0.7200925313945803,0,0.6310310641110377,0,0.5388301387970919,0
MMR111,Bago,ပဲခူးတိုင်းဒေသကြီး,MMR007001,Bago,ပဲခူး,0.291678341,0,0.39142617,0,0.551134772,0,0.855982068,0,0.938077893,0,0.617820118,0,0.438217988,0,0.455589801,0,0.864948165,0,0.801905296,0,0.597366209,0,0.305687868,0,0.32277949,0,0.229195853,0,0.244326142,0,0.208461754,0,0.325581395,0,0,0,1.701877277,0,1.159708602,0,1.405155506,0,1.785093864,0,0.08955584553670679,0,0.041757285776424534,0,0.10642308249963753,0,0.12445024406746895,0,0.14199410371659177,0
